label,tag_psb,token_t,subroots,gender,occupation,level_edu
100000,"{""手机壳"":""0.18510178"",""iPhone"":""0.18549353"",""爱护手机"":""0.18573008""}","{""^!手机"":""1"",""全包"":""1"",""潮牌"":""1"",""IPHONE"":""1"",""保护套"":""1"",""PLUS"":""1"",""手机壳"":""1"",""硬壳"":""1"",""苹果"":""1""}",NULL,女性,NULL,高中
60000,"{""个子不高"":""0.1182706096485268"",""休闲风"":""0.1182845274145947"",""价格敏感"":""0.11709057486065745"",""初为人父母"":""0.07891432585041931"",""精致生活"":""0.09413211984738991"",""家有宝贝"":""0.11816822170585294""}","{""儿童"":""1"",""女童"":""1"",""宝宝"":""2"",""^!运动装"":""2"",""单鞋"":""1"",""无糖"":""1"",""罐装"":""1"",""瑞士"":""1"",""1"":null,""男童"":""2"",""童鞋"":""1"",""防滑"":""1"",""^!防（安全）"":""1"",""运动鞋"":""2"",""速溶"":""1"",""原装"":""1"",""婴儿"":""1"",""进口"":""1"",""真皮"":""1"",""咖啡"":""1"",""冷冻"":""1""}","[""学步鞋_婴儿步前鞋"",""速溶咖啡_咖啡豆_粉"",""早教_智能玩具""]",女性,公职,高中
100000,"{""旅行达人"":""0.25406703"",""家居生活"":""0.21108729"",""爱读书"":""0.2063218""}","{""行李箱"":""2"",""衣物"":""2"",""青年"":""2"",""收纳包"":""2"",""文艺"":""2"",""旅行"":""2"",""整理"":""2"",""收纳"":""2""}",NULL,男性,NULL,初中
100000,"{""崇尚自然"":""0.17525666760055195"",""工业采购"":""0.18032130578772407"",""茶叶控"":""0.07750377040428734"",""爱种植"":""0.17367430470841888""}","{""营养"":""1"",""家用"":""1"",""牛皮"":""2"",""压力"":""1"",""皮带"":""2"",""腰带"":""2"",""花盆"":""1"",""^!水壶"":""1"",""喷雾器"":""1"",""喷壶"":""1"",""水壶"":""1"",""打孔"":""2"",""迷你"":""1"",""浇花"":""1"",""真皮"":""2"",""花卉"":""1"",""园艺"":""1"",""种植"":""1"",""多肉"":""1"",""喷雾瓶"":""1"",""桌面"":""1"",""盆栽"":""1"",""小型"":""1"",""绿植"":""1"",""植物"":""1""}",NULL,女性,NULL,初中
100000,"{""个子不高"":""0.12912207364979134"",""休闲风"":""0.12911834864498142"",""手机壳"":""0.1289533786489068"",""商业采购"":""0.12912205825720946"",""爱护手机"":""0.12912145794651697""}","{""软壳"":""1"",""^!手机"":""3"",""透明"":""1"",""^!运动装"":""3"",""电池"":""2"",""气垫"":""1"",""手机壳"":""3"",""苹果"":""1"",""OPPO"":""2"",""^!防（安全）"":""1"",""运动鞋"":""3"",""板鞋"":""3"",""电源"":""2"",""鞋子"":""3"",""休闲"":""3"",""男鞋"":""3"",""冬季"":""3"",""IPHONE"":""1"",""无线"":""2"",""百搭"":""3"",""防摔"":""1"",""潮鞋"":""3"",""韩版"":""3"",""通用"":""1"",""充电宝"":""2"",""硅胶"":""1"",""^!男人"":""3"",""移动"":""2""}",NULL,男性,个体,初中
100000,"{""厨房能手"":""0.09528554268937886"",""爱美"":""0.10579163196820043"",""韩流"":""0.10579163196820043"",""文化人"":""0.10376071984014403"",""油性皮肤"":""0.1022362856445001"",""长头发"":""0.10579163196820043""}","{""发圈"":""14"",""发带"":""7"",""^!简约"":""5"",""卧室"":""1"",""弹簧"":""7"",""铝合金"":""1"",""亚光"":""1"",""顶夹"":""7"",""橡皮筋"":""5"",""日韩"":""7"",""进口"":""1"",""刘海夹"":""7"",""超细"":""1"",""厨房"":""1"",""饰品"":""12"",""超薄"":""1"",""珠光"":""1"",""抗菌"":""1"",""橱柜"":""1"",""^!舒爽"":""1"",""发绳"":""7"",""销售"":""1"",""精品"":""3"",""透气"":""1"",""简易"":""1"",""宽边"":""2"",""^!菌（卫生）"":""1"",""简约"":""5"",""发饰"":""7"",""眼影盘"":""1"",""发箍"":""12"",""眼影"":""1"",""^!女人"":""9"",""韩国"":""14"",""水钻"":""2"",""白色"":""1"",""遮瑕"":""1"",""控油"":""1"",""边夹"":""7"",""神器"":""1"",""干爽"":""1"",""彩色"":""1"",""发卡"":""2"",""洗脸"":""2"",""金丝"":""1"",""柔软"":""1"",""头饰"":""12"",""多色"":""1"",""珍珠"":""1"",""纤维"":""1"",""矿物"":""1"",""头发"":""5"",""亮肤"":""1"",""压发"":""2"",""头绳"":""5"",""修颜"":""1"",""白雪"":""1"",""气质"":""7"",""发夹"":""12"",""^!饰（个人）"":""14""}","[""花卉_绿植盆栽（新）"",""眼影"",""柜类"",""发饰"",""粉饼"",""其他美容工具""]",女性,NULL,初中
100000,"{""怀旧"":""0.27467204562619263"",""大学生"":""0.17285540568683522"",""爱读书"":""0.17798421355807031""}","{""训练"":""1"",""预测"":""1"",""英语"":""1"",""试卷"":""1"",""真题"":""1"",""阅读"":""1"",""大学"":""1""}","[""考试_教材_论文""]",女性,大学,高中
100000,"{""厨房能手"":""0.11634762779305446"",""零食控"":""0.12072455317085193"",""家居生活"":""0.13839995347815395"",""爱读书"":""0.13549027293470695"",""家有宝贝"":""0.12779866031256937""}","{""教学"":""1"",""儿童"":""1"",""家用"":""1"",""床头"":""1"",""触摸"":""1"",""卧室"":""1"",""宿舍"":""1"",""白板"":""1"",""夹子"":""1"",""磁性"":""1"",""学生"":""1"",""书桌"":""1"",""单面"":""1"",""充电式"":""1"",""办公"":""1"",""迷你"":""1"",""护眼"":""1"",""涂鸦"":""1""}","[""教学演示_展示告示用品"",""灯具灯饰""]",男性,NULL,高中
100000,"{""家居生活"":""0.28906175"",""注重健康"":""0.35850322""}","{""衣服"":""1"",""修身"":""1"",""打底衫"":""1"",""T恤"":""1"",""圆领"":""1"",""男装"":""1"",""^!t恤"":""1"",""加绒"":""1"",""纯棉"":""1"",""男士"":""1"",""长袖"":""1"",""秋季"":""1"",""^!舒适（棉麻）"":""1"",""狂欢节"":""1"",""全球"":""1"",""^!男人"":""1"",""加厚"":""1""}",NULL,男性,NULL,初中
60000,"{""品质生活"":""0.2519823092523856"",""简约风"":""0.20348679573499034"",""养鱼控"":""0.208083685566243""}","{""优雅"":""2"",""简约"":""2"",""鱼竿"":""1"",""之源"":""1"",""水晶"":""1"",""^!简约"":""2"",""老花"":""2"",""钓鱼"":""1"",""碳素"":""1"",""^!女人"":""1"",""钓竿"":""1"",""时尚"":""1"",""超轻"":""1"",""^!鱼（养殖）"":""1"",""眼镜"":""1"",""进口"":""1"",""树脂"":""1"",""^!男人"":""1"",""舒适"":""2""}","[""功能眼镜"",""垂钓装备""]",男性,个体,高中
100000,"{""游戏玩家"":""0.3670161343323745"",""装机控"":""0.12823799261576874"",""追求健康"":""0.2025288913445727""}","{""^!有汽车"":""1"",""汽车"":""1"",""创意"":""1"",""摆件"":""1"",""公仔"":""1"",""卡通"":""1"",""一对"":""1"",""可爱"":""1"",""情侣"":""1"",""^!饰（个人）"":""1"",""饰品"":""1""}",NULL,男性,NULL,初中
100000,"{""追剧"":""0.09073056570405154"",""游戏玩家"":""0.12918594054550053"",""懒人"":""0.09073056570405154"",""价格敏感"":""0.23606218800441894"",""低头族"":""0.09073056570405154""}","{""家居"":""1"",""儿童"":""1"",""拖鞋"":""1"",""冬季"":""1"",""月子"":""1"",""惠券"":""4"",""情侣"":""1"",""室内"":""1"",""防滑"":""1"",""^!防（安全）"":""1"",""优惠券"":""7"",""保暖"":""1"",""^!男人"":""1"",""^!取暖"":""1""}",NULL,女性,大学,高中
100000,"{""追星族"":""0.38496581815960734"",""家有宝贝"":""0.3137635191445032""}","{""靠垫"":""1"",""舰队"":""1"",""舰娘"":""1"",""抱枕"":""2"",""公仔"":""1"",""周边"":""2"",""神器"":""1"",""搞笑"":""1"",""COLLECTION"":""1"",""动漫"":""2""}",NULL,女性,NULL,高中
100000,"{""美食达人"":""0.08061979619091902"",""游戏玩家"":""0.08018032904476691"",""零食控"":""0.0797496570088232"",""家居生活"":""0.080632493830903"",""家务控"":""0.0806322631394877"",""初为人父母"":""0.07865128711985432"",""重口味"":""0.07753282785346947"",""音乐控"":""0.07877679766799259""}","{""工具"":""1"",""洗衣服"":""1"",""USB"":""1"",""家用"":""1"",""^!菌（卫生）"":""1"",""水果"":""1"",""除臭"":""1"",""红枣"":""1"",""胶皮"":""1"",""幻影"":""1"",""厨房"":""1"",""洗碗"":""1"",""鼠标"":""1"",""家务"":""1"",""大枣"":""1"",""鞋子"":""1"",""中联"":""1"",""发热"":""1"",""杀菌"":""1"",""山楂"":""1"",""有线"":""1"",""橡胶"":""1"",""乳胶"":""1"",""加长"":""1"",""鞋器"":""1"",""手套"":""1"",""耐用"":""1"",""不锈钢"":""1"",""游戏"":""1"",""加厚"":""1""}","[""干鞋器"",""有线鼠标"",""家务_地板清洁用具"",""厨用小工具_厨房储物""]",女性,NULL,大学
100000,"{""追求舒适"":""0.10472709996073212"",""休闲风"":""0.2163290625041807"",""注重健康"":""0.08800208726603484"",""有点胖"":""0.27173821259915165""}","{""青年"":""1"",""无痕"":""1"",""透气"":""1"",""内裤"":""1"",""性感"":""1"",""可爱"":""1"",""大码"":""1"",""冰丝"":""1"",""^!男人"":""1"",""男士"":""1""}","[""内裤""]",女性,白领,初中
100000,"{""爱美"":""0.1444040003412128"",""休闲风"":""0.1365457379865951"",""中医实践者"":""0.09069194871807351"",""显瘦"":""0.1444351832045439"",""追求性感"":""0.14207367965315384""}","{""薄款"":""1"",""小脚"":""1"",""宽松"":""1"",""阔腿"":""1"",""圆领"":""1"",""衬衣"":""1"",""两件"":""1"",""^!女人"":""2"",""外套"":""1"",""短裤"":""1"",""显瘦"":""2"",""铅笔"":""1"",""^!瘦身"":""2"",""休闲"":""2"",""上衣"":""1"",""T恤"":""1"",""短袖"":""1"",""裤子"":""1"",""^!t恤"":""1"",""百搭"":""1"",""学生"":""1"",""衬衫"":""1"",""韩版"":""2"",""条纹"":""1"",""外穿"":""1"",""^!阔腿"":""1"",""高腰"":""1"",""打底裤"":""1""}","[""衬衫"",""裤子""]",女性,NULL,高中
